Category,Impact,ImpactedArea,ImpactedValue,Description,Solution
HighAvailability,High,MICROSOFT.COMPUTE/DISKS,flowdemo-app4_osdisk_1_884d9d8f897945da9d8d224043b6adbf,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability
HighAvailability,High,MICROSOFT.COMPUTE/DISKS,flowdemo-app1_osdisk_1_39fa323cf3a940c8b631f46cbdc866ec,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability
HighAvailability,High,MICROSOFT.COMPUTE/DISKS,flowdemo-app2_osdisk_1_524125070d704f9db010e015faac341f,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability
HighAvailability,High,MICROSOFT.COMPUTE/DISKS,flowdemo-app3_osdisk_1_72e885cb18a042ff9a0c28f7df0034cf,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability,Ensure Azure Disks are in the same zone as your VM for higher resiliency and availability
HighAvailability,High,Microsoft.Subscriptions/subscriptions,3ca6ed87-dfc5-4dce-9cf7-71c84695304d,Create an Azure Service Health alert,Create an Azure Service Health alert
HighAvailability,High,MICROSOFT.STORAGE/STORAGEACCOUNTS,flowdemoflowlogs4xnyiget,Enable zone redundancy for storage accounts to improve high availability and resiliency,Enable zone redundancy for storage accounts to improve high availability and resiliency
OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,flowdemo-app2,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)"
OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,FLOWDEMO-WEB2,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)"
OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,flowdemo-app1,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)"
OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,FLOWDEMO-PGSECONDARY,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)"
