TimeGenerated,SrcVm,SrcIp,DestVm,DestIp,DestPort,L7Protocol,FlowStatus,BytesSrcToDest,BytesDestToSrc,src_key,dst_key,adv_Category,adv_Impact,adv_ImpactedArea,adv_ImpactedValue,adv_Description,adv_Solution,adv_ResourceGroup,adv_vm_key,_match_side,total_traffic
2026-06-20 19:54:17.799372+00:00,,,,,,,,,,,,,,,,,,,,DestVm,
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-web2,10.0.1.4,3620.0,ep-pcp,Denied,0.0,0.0,,flowdemo-web2,OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,FLOWDEMO-WEB2,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)",,flowdemo-web2,DestVm,15508569.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-web2,10.0.1.4,3620.0,ep-pcp,Denied,0.0,0.0,,flowdemo-web2,HighAvailability,Medium,MICROSOFT.COMPUTE/VIRTUALMACHINES,FLOWDEMO-WEB2,Migrate workload to Virtual Machine Scale Sets Flex,Migrate workload to Virtual Machine Scale Sets Flex,,flowdemo-web2,DestVm,15508569.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-web2,10.0.1.4,3620.0,ep-pcp,Denied,0.0,0.0,,flowdemo-web2,OperationalExcellence,Medium,MICROSOFT.COMPUTE/VIRTUALMACHINES,flowdemo-web2,Enable VM Insights for virtual machines,Enable VM Insights for virtual machines,,flowdemo-web2,DestVm,15508569.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-web2,10.0.1.4,6466.0,Unknown,Denied,0.0,0.0,,flowdemo-web2,OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,FLOWDEMO-WEB2,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)",,flowdemo-web2,DestVm,15508569.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-web2,10.0.1.4,6466.0,Unknown,Denied,0.0,0.0,,flowdemo-web2,HighAvailability,Medium,MICROSOFT.COMPUTE/VIRTUALMACHINES,FLOWDEMO-WEB2,Migrate workload to Virtual Machine Scale Sets Flex,Migrate workload to Virtual Machine Scale Sets Flex,,flowdemo-web2,DestVm,15508569.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-web2,10.0.1.4,6466.0,Unknown,Denied,0.0,0.0,,flowdemo-web2,OperationalExcellence,Medium,MICROSOFT.COMPUTE/VIRTUALMACHINES,flowdemo-web2,Enable VM Insights for virtual machines,Enable VM Insights for virtual machines,,flowdemo-web2,DestVm,15508569.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-pgprimary,10.0.3.4,28975.0,Unknown,Allowed,102.0,54.0,,flowdemo-pgprimary,OperationalExcellence,High,MICROSOFT.COMPUTE/VIRTUALMACHINES,flowdemo-pgprimary,"Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)",,flowdemo-pgprimary,DestVm,1453476.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-pgprimary,10.0.3.4,28975.0,Unknown,Allowed,102.0,54.0,,flowdemo-pgprimary,HighAvailability,Medium,MICROSOFT.COMPUTE/VIRTUALMACHINES,flowdemo-pgprimary,Migrate workload to Virtual Machine Scale Sets Flex,Migrate workload to Virtual Machine Scale Sets Flex,,flowdemo-pgprimary,DestVm,1453476.0
2026-06-20 19:54:16.917128+00:00,,,rg-jxd-ddd/flowdemo-pgprimary,10.0.3.4,28975.0,Unknown,Allowed,102.0,54.0,,flowdemo-pgprimary,OperationalExcellence,Medium,Microsoft.Network/networkInterfaces,flowdemo-pgprimary-nic,Add explicit outbound method to disable default outbound,Add explicit outbound method to disable default outbound,,flowdemo-pgprimary,DestVm,1453476.0
